0,Polarity,Subjectivity,
https|||abc7news.com|trump-promises-change-after-touring-wildfire-devastation|4709157|.html,0.05894100872672302,0.40026138940424644,
https|||abcnews.go.com|alerts|donald-trump.html,0.08157413419913419,0.30681421356421357,
https|||ballotpedia.org|Donald_Trump.html,0.07109993552546744,0.2835647969052225,
https|||en.wikipedia.org|wiki|Donald_Trump.html,0.10468296303706302,0.39407352087574354,
https|||en.wikipedia.org|wiki|Inauguration_of_Donald_Trump.html,0.11179463440205635,0.43219440968464345,
https|||mashable.com|category|donald-trump|.html,0.05704343858755627,0.3978993718699601,
https|||nypost.com|tag|donald-trump|.html,0.0401826010868564,0.3951690153817812,
https|||ottawacitizen.com|news|local-news|nba-icon-kareem-abdul-jabbar-on-donald-trump-i-think-the-president-is-more-of-a-problem-than-a-solution.html,0.11175670483362797,0.34212723174261617,
https|||pagesix.com|tag|donald-trump|.html,0.058006198347107435,0.3665117079889807,
https|||people.com|tag|donald-trump|.html,0.18835016835016838,0.41665223665223655,
https|||projects.fivethirtyeight.com|trump-approval-ratings|.html,0.2948729721456994,0.5604071013161924,
https|||theconcourse.deadspin.com|this-is-all-donald-trump-has-left-1830329753.html,0.059136112870868986,0.4801949151796715,
https|||thehill.com|people|donald-trump.html,0.06287809412809411,0.3144425019425019,
https|||topics.nj.com|tag|donald-trump.html,0.09908357482737651,0.3263037100640406,
https|||twitter.com|RepAdamSchiff|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Eauthor.html,0.25660726988191795,0.4549183315380499,
https|||twitter.com|RepAdamSchiff|status|1064225872608141319|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.2974108203887617,0.5244276801629739,
https|||twitter.com|realDonaldTrump|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Eauthor.html,0.29975222656674283,0.48622104299523655,
https|||twitter.com|realDonaldTrump|status|1063987157650485249|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.2299851740400522,0.5419231513743704,
https|||twitter.com|realDonaldTrump|status|1064209246114459648|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.30114967000212917,0.5257356941783167,
https|||twitter.com|realDonaldTrump|status|1064216956679716864|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.25469047113322824,0.49573633531577427,
https|||twitter.com|realDonaldTrump|status|1064227483187318784|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.17140885244698806,0.49877283733215905,
https|||twitter.com|realDonaldTrump|status|1064245710747590657|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.2037765643447462,0.49584251606978846,
https|||twitter.com|realDonaldTrump|status|1064246787161145346|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0.2140493278651175,0.5373908255487199,
https|||twitter.com|search|q|President|Trump|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Esearch.html,0.28110435663627154,0.4751984894538083,
https|||weather.com|news|news|2018-11-17-trump-visits-site-of-northern-california-camp-fire|.html,0.06347559445385531,0.4904558002384089,
https|||www.adweek.com|tvnewser|chris-wallace-tells-president-trump-we-the-press-are-in-solidarity-sir|384901.html,0.10660075130183828,0.4619035855448899,
https|||www.aljazeera.com|topics|people|donald-trump.html.html,0.023574818755541647,0.2790734366035571,
https|||www.amazon.com|Donald-Talking-Figure-Different-President|dp|B07284QZ59.html,0.2351824194324195,0.4957783096533098,
https|||www.apnews.com|8f52ea34a9f3477e9dc76bd57ab30cad.html,0.037516576811055344,0.41234775449499383,
https|||www.axios.com|donald-trump-interview-fox-news-sunday-b63096ef-0a44-4f0f-aea7-5e9f4e74b4cf.html.html,0.07149416240325326,0.4082377579130826,
https|||www.azcentral.com|story|news|nation|2018|11|18|president-donald-trump-visits-camp-fire-wildfire-destruction-draws-support-criticism|2046272002|.html,0.041924116868969775,0.36865174857821964,
https|||www.bbc.com|news|world-europe-46256296.html,0.12790883761628444,0.3550693101225016,
https|||www.bbc.com|news|world-us-canada-37999969.html,0.1031061003947034,0.34258768192591704,
https|||www.bloomberg.com|billionaires|profiles|donald-j-trump|.html,0.11778940886699513,0.3081827511568889,
https|||www.breitbart.com|politics|2018|11|18|democrats-to-investigate-why-trump-wants-u-s-citizens-counted-on-2020-census|.html,0.045745021645021665,0.4455077922077922,
https|||www.businessinsider.com|donald-trump-oldest-president-us-history-2016-11.html,0.1837599109373303,0.5649931728963985,
https|||www.bustle.com|donald-trump.html,0.13018739251615966,0.38339723442463153,
https|||www.c-span.org|person||donaldtrump.html,0.08012820512820512,0.28397435897435896,
https|||www.capitalgazette.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,-0.018737373737373747,0.386592394533571,
https|||www.cbsnews.com|news|trump-tweet-about-california-fires-firefighter-union-president-responds-for-what-president-said-about-california-wildfires|.html,-0.04182216510341511,0.45885747354497325,
https|||www.chicagotribune.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,0.04870576159235954,0.39653493699885445,
https|||www.cnbc.com|donald-trump|.html,0.02016245403342178,0.30736861704603635,
https|||www.cnn.com|2013|07|04|us|donald-trump-fast-facts|index.html.html,0.07792114977794565,0.3191110655795123,
https|||www.cnn.com|2018|11|18|politics|donald-trump-william-mcraven|index.html.html,0.12616028295376125,0.402962858397641,
https|||www.cnn.com|2018|11|18|politics|trump-schiff-little-adam-schitt-tweet|index.html.html,0.03426154137832969,0.3523541725913988,
https|||www.cnn.com|videos|politics|2018|11|18|president-trump-slams-admiral-who-led-bin-laden-raid-orig-ec.cnn.html,0.017057169634489222,0.3152608559825054,
https|||www.courant.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,0.12903718305504025,0.36945475159760865,
https|||www.dailymail.co.uk|news|donald_trump|index.html.html,0.07418098013098008,0.43865028305028325,
https|||www.donaldjtrump.com|.html,0.33897058823529413,0.4607843137254902,
https|||www.esquire.com|news-politics|a25126445|trump-attorney-general-russia-probe-matthew-whitaker|.html,0.16739642552895567,0.44978702689546063,
https|||www.express.co.uk|news|world|1047118|Donald-Trump-california-wildfire-pleasure-paradise-finland-news.html,0.043556595591170054,0.36915831951736205,
https|||www.facebook.com|DonaldTrump|.html,0.15643939393939396,0.3421425796425797,
https|||www.facebook.com|POTUS|.html,0.14532828282828283,0.26981271043771055,
https|||www.factcheck.org|person|donald-trump|.html,-0.016056166056166075,0.44157509157509156,
https|||www.forbes.com|profile|donald-trump|.html,0.10561351217088918,0.3095131644311973,
https|||www.foxnews.com|politics|trump-in-exclusive-interview-reveals-obamas-private-guidance-on-greatest-threat-to-the-u-s.html,0.1152394235239424,0.3970981633429333,
https|||www.foxnews.com|politics|trump-says-i-dont-want-to-hear-the-tape-of-purported-khashoggi-killing.html,0.02373291502504986,0.43949000437764474,
https|||www.france24.com|en|tag|donald-trump|.html,0.039302305399003507,0.28657872525797057,
https|||www.kansascity.com|news|politics-government|article221782300.html.html,0.016434594391116126,0.33754128480215423,
https|||www.kcra.com|article|watch-president-arrives-in-california-to-survey-wildfire-damage|25208676.html,-0.0467909867909868,0.37779761904761916,
https|||www.mcall.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,0.021231689186234644,0.4094800093284942,
https|||www.mercurynews.com|2018|11|17|president-trump-again-blames-forest-management-for-california-fires|.html,0.05991955459869902,0.40273053298454364,
https|||www.msnbc.com|david-gura|watch|does-president-trump-know-something-about-the-russia-investigation-that-the-rest-of-us-do-not-1373476419577.html,0.07228571428571427,0.36319047619047606,
https|||www.nbcnews.com|news|world|finland-s-president-rakes-memory-source-trump-remark-n937736.html,-0.004024943310657593,0.3060468631897204,
https|||www.nbcsports.com|chicago|bears|did-lauri-markkanen-just-troll-donald-trump.html,0.1376212700989487,0.4644818722943721,
https|||www.newsweek.com|topic|donald-trump.html,0.01272727272727273,0.3943290043290043,
https|||www.newyorker.com|tag|donald-trump.html,0.12170317244944114,0.34092362861019565,
https|||www.npr.org|tags|511343536|president-trump.html,0.06418143115162986,0.30596349015223195,
https|||www.onthisday.com|people|donald-trump.html,0.11720567014684663,0.3313654754831226,
https|||www.orlandosentinel.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,0.07467696444969173,0.39096057982421617,
https|||www.politico.com|news|donald-trump.html,0.049431818181818174,0.3213778409090909,
https|||www.psychologytoday.com|us|basics|president-donald-trump.html,0.00861542828755943,0.401271645021645,
https|||www.realclearpolitics.com|video|2018|11|18|president_trump_on_divided_congress_mueller_foreign_policy_fake_news_more.html.html,0.12453261480276921,0.530565963481915,
https|||www.scmp.com|topics|donald-trump.html,0.10860132733673593,0.39535836407431735,
https|||www.sfchronicle.com|california-wildfires|article|President-travels-to-Paradise-to-view-wildfire-13401646.php.html,0.04656588203463198,0.34654618168290047,
https|||www.sun-sentinel.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,-0.06673400673400673,0.46131874298540965,
https|||www.teenvogue.com|tag|donald-trump.html,0.0015810276679841904,0.4110671936758893,
