0,https|||www.newyorker.com|news|news-desk|why-is-the-trump-campaign-attacking-senator-kirsten-gillibrand.html,https|||www.newyorker.com|news|news-desk|trump-reportedly-called-sessions-a-dumb-southerner-what-do-alabama-republicans-think-of-that.html,https|||www.newyorker.com|humor|borowitz-report|military-refuses-to-participate-in-trumps-parade-citing-bone-spurs.html,https|||www.newyorker.com|news|current|trump-putin-helsinki.html,https|||www.huffingtonpost.com|entry|twitter-in-melt-down-after-trump-says-synagogue-needed-armed-guard_us_5bd5198fe4b0d38b58843468.html,https|||www.huffingtonpost.com|entry|rep-kevin-mccarthy-delete-tweet-attacking-3-jewish-money-men_us_5bd4fa98e4b0d38b58842c96.html,https|||www.breitbart.com|entertainment|2018|10|27|exclusive-blexit-in-my-own-words|.html,https|||www.breitbart.com|tech|2018|10|27|report-facebooks-political-ad-tools-allows-users-to-purchase-ads-in-the-name-of-mike-pence-isis-others|.html,https|||www.breitbart.com|politics|2018|10|27|barack-obama-complains-about-media-coverage-of-donald-trump|.html,https|||www.breitbart.com|politics|2018|10|27|watch-live-walkaway-from-democrats-rally-in-washington-dc|.html,realdonaldtrump oct2018.html,
https|||abc7news.com|trump-promises-change-after-touring-wildfire-devastation|4709157|.html,0.9779238113813411,0.9622012775020126,0.9684745781865589,0.9786433906643377,0.9810481652558063,0.9846883693932875,0.978089712356768,0.9717574527054936,0.9527231095297036,0.9258091916248481,0.963470792244578,
https|||abcnews.go.com|alerts|donald-trump.html,0.9567155496263139,0.9367201810781864,0.9368702926750273,0.9706130455127956,0.9638499105101747,0.9754574399793929,0.9609522611957152,0.9480252599189969,0.9169674798831033,0.8862244640357748,0.9566679864547799,
https|||ballotpedia.org|Donald_Trump.html,0.9657939366304932,0.9391222016145645,0.9730358257471802,0.9695536754372502,0.9666266288334281,0.9767871513584441,0.9680091469922255,0.973991383669613,0.9600268185245949,0.9462945197982502,0.9376837587075515,
https|||en.wikipedia.org|wiki|Donald_Trump.html,0.9395745480853548,0.9138807312032603,0.9173603318381092,0.9284446296002196,0.947371550737285,0.9324690706738362,0.902247508490847,0.903679114269612,0.8954997463641476,0.8738816360693352,0.9059522509052108,
https|||en.wikipedia.org|wiki|Inauguration_of_Donald_Trump.html,0.9434141663080249,0.9132572061421018,0.922888187205584,0.9361671247201583,0.9510850606894996,0.9405397568781189,0.9094545335301145,0.9104729828456889,0.8987807079315444,0.8774865612492851,0.9068228421991429,
https|||mashable.com|category|donald-trump|.html,0.9487387362256251,0.9303134140321443,0.9482513360824919,0.9503290107301791,0.9637469977923282,0.9552211777537746,0.9555918517106357,0.952111164692314,0.9319749662638421,0.9111261708629953,0.9627007026544026,
https|||nypost.com|tag|donald-trump|.html,0.9553822060831714,0.9445685683921169,0.9494481541448823,0.9560546839955579,0.9603559959830453,0.9653682031896589,0.9595395732289106,0.9579629562174962,0.9457164433561931,0.920072925488596,0.9420623970728311,
https|||ottawacitizen.com|news|local-news|nba-icon-kareem-abdul-jabbar-on-donald-trump-i-think-the-president-is-more-of-a-problem-than-a-solution.html,0.9567604318185635,0.9367059740002837,0.9327561166989494,0.956538576389901,0.969133399131103,0.9588683861704128,0.9478132452504296,0.9269185912120809,0.9055187014495522,0.8730255440286931,0.9536388242596644,
https|||pagesix.com|tag|donald-trump|.html,0.9580469995954327,0.9435866335472302,0.9568236932164871,0.9577670283943379,0.966424292895338,0.9672672382030013,0.9589892859268161,0.9593199904982157,0.9448410935703042,0.9240003063546622,0.9510514094034968,
https|||people.com|tag|donald-trump|.html,0.8910445196968062,0.8739557135933474,0.8799458895327871,0.8834016831654498,0.9025323226784983,0.8907043634008531,0.8934040017381739,0.8862234272577926,0.8672083159497189,0.8419140612913205,0.8903924990989516,
